# 「基本辞書データ（漢字、自由）.tsv」片山博文MZ
# This file is public domain software.
主人公	物語の中心人物。
主力	オモなチカラ。
主力産業	シュリョクサンギョウ。
主婦	既婚の女性で家庭の運営の責任者。
主将	キャプテン。
主導権	シュドウケン。
主張	自分の意見を他に認めさせようと強く言いハること。
主役	シュ要なヤク目。
主従	シュ人とジュウ者。「○○関係」
主権侵害	シュケンシンガイ。
主流	オモなナガれ。
主演	映画や演劇などでシュ役をエンじること。
主犯	ある犯罪行為の実行の中心となった者。
主義	常に抱いている考え。イズム。
主要	中心となっていて大切なこと。
主要通貨	シュヨウツウカ。
主要都市	シュヨウトシ。
主観的	自分だけの見方にとらわれているさま。
主語	「～は」「～が」にあたる、文の要素。
主題	メインテーマ。
主食	食事の中心として主要なエネルギー源となる食物のこと。
乗務員	ジョウムイン。
乗客	ジョウキャク。
乗用車	ジョウヨウシャ。
乗車	クルマにノること。「○○券」
乗車券	ジョウシャケン。
乗車口	ジョウシャグチ。
乗車駅	ジョウシャエキ。
乗馬	ウマにノること。
九州	福岡県・長崎県・鹿児島などがある大きな島。
九州地方	福岡県・長崎県・鹿児島などがあるチ域。
九州場所	キュウシュウバショ。
九日	ココノカ。
九月	敬老の日のあるツキ。
乱入	無関係な人が紛れ込むこと。
乱反射	ランハンシャ。
乱射	むちゃくちゃに弾丸や矢を飛ばすこと。
乱暴	ランボウ。
乱暴者	ランボウモノ。
乱発	むやみにハッ行すること。
乱立	むやみにタち並ぶこと。
乱視	眼球がゆがんでいて焦点が合わないさま。
乱雑	ミダれていて秩序がないこと。
乳児	生後0日から満1歳未満までの子。
乳化剤	ニュウカザイ。
乳房	おっぱい。
乳歯	子どもの時に生える歯。
乳母	母親に代わって子育てをする女性のこと。
乳母車	ウバグルマ。
乳液	ニュウ状のエキ体化粧品のこと。
乳牛	ギュウニュウを作り出すウシ。
乳製品	ニュウセイヒン。
乳首	チクビ。
乾杯	合図に合わせて酒を飲む儀式。
乾燥	水分が抜けた状態。
乾燥機	カンソウキ。
乾物	カワいたモノ。
乾電池	カンデンチ。
了解	ＯＫ。リョウカイ。
予備	アラカジめ、ジュン備しておくこと。
予告	前もって知らせること。
予報	前もって予測して知らせること。「天気○○」
予定	行事や行動を前もって決めておいたこと。
予定地	ヨテイチ。
予定日	ヨテイビ。
予定表	ヨテイヒョウ。
予想	これから起こることを推し量ること。
予想外	ヨソウガイ。
予想金額	ヨソウキンガク。
予感	これから起きそうなことをカンじ取ること。
予断	なりゆきを前もって判断すること。「○○を許さない情勢」
予測	将来の状態を前もっておしはかること。
予知能力	ヨチノウリョク。
予算	ヨサン。
予算委員会	ヨサンイインカイ。
予算成立	ヨサンセイリツ。
予算案	ヨサンアン。
予算編成	ヨサンヘンセイ。
予算規模	ヨサンキボ。
予算配分	ヨサンハイブン。
予約	前もってヤク束すること。
予習	まだナラっていないことを前もって勉強すること。
予行	練習のために前もって行うこと。「○○演習」
予言	未来のことをイうこと。
予選	出場権を賭けた戦い。
予防	悪いことがおきないように前もってフセぐこと。
予防医学	ヨボウイガク。
予防接種	ヨボウセッシュ。
事件	人々の関心をひく出来ゴト。
事件簿	ジケンボ。
事例	実際に起こった出来ゴト。ケース。
事前	物ゴトの行われるマエや起こるマエ。
事務	書類の作成や整理などを行う仕ゴト。
事務処理	ジムショリ。
事務効率化	ジムコウリツカ。
事務所	ジムショ。
事務用品	ジムヨウヒン。
事務職	ジムショク。
事実	現ジツに起こり，または存在するコト柄。
事実誤認	ジジツゴニン。
事情	物ゴトがある状態に至るまでの理由や経緯。
事態収束	ジタイシュウシュウ。
事故	思いかけず起こった悪い出来ゴト。
事故死	ジコシ。
事故物件	ジコブッケン。
事業	組織・会社などを経営する仕ゴト。
事業拡大	ジギョウカクダイ。
事業者	ジギョウシャ。
事業計画	ジギョウケイカク。
二世帯住宅	ニセタイジュウタク。
二刀流	両手にカタナを持って攻守を行うスタイル。
二十一世紀	2001年から2100年までの100年間。
二十世紀	1901年から2000年までの100年間。
二十四節気	ニジュウシセッキ。
二十日	ハツカ。
二塁	ニルイ。
二大政党制	ニダイセイトウセイ。
二学期	ニガッキ。
二年生	ニネンセイ。
二日	フツカ。
二月	節分とバレンタインデーのあるツキ。
二枚目	やさ男の美男子。
二次創作物	ニジソウサクブツ。
二次災害	ニジサイガイ。
二等分	線分、角、数量などをフタつのヒトしい部分にワけること。
二等分線	線分や角度をニトウブンする直セン。
二等辺三角形	２ヘンがヒトしいサンカッケイ。
二者択一	フタつのうちどちらかヒトつを選ばなければならないこと。
二足歩行	ニソクホコウ。
二酸化炭素	ＣＯ２。
二酸化炭素排出量	ニサンカタンソハイシュツリョウ。
二重	ダブル。
二重人格	ニジュウジンカク。
二階	地面よりも一つ上のカイ層。
互角	優劣の差がないこと。「○○の勝負」
五人組	ゴニングミ。
五体満足	ゴタイマンゾク。
五兆円	千億エンかけるゴ十は？
五分五分	ゴブゴブ。
五十歩百歩	ゴジッポヒャッポ。
五十音順	ゴジュウオンジュン。
五千円札	樋口一葉が描かれたお札。
五年生	ゴネンセイ。
五感	視覚、聴覚、触覚、味覚、嗅覚。
五日	イツカ。
五月	子どもの日があるツキ。
五月雨	サミダレ。
五角形	5つの頂点と辺を持つ多角形の総称。
五輪	オリンピック。
井戸	地下水、温泉などをくみ上げるための設備。
井戸水	イドミズ。
井戸端	世間話に花が咲く「○○○会議」。
井戸端会議	イドバタカイギ。
亜熱帯	ネッタイに次いで気温の高い地域のこと。
亜熱帯気候	アネッタイキコウ。
亜鉛	元素記号Zn。必須ミネラル。摂取しないと味覚障害に。
亡命	政治的な事情で他国に逃れること。
亡国	クニをほろぼすこと。ほろんだクニ。
亡者	執念にとりつかれた人。「金の○○」
交互	たがいちがい。
交付	公の機関が書類や金品などを引き渡すこと。「証明書を○○する」
交付金	コウフキン。
交代	互いに入れ替わること。
交友関係	コウユウカンケイ。
交差	マジわること。「○○点」
交差点	コウサテン。
交換	互いにやり取りすること。「○○日記」
