# 「基本辞書データ（英和、自由）.tsv」片山博文MZ
# This file is public domain software.
bound	はね返り。バウンド。はずみ。
boundary	境界。境界線。
bouquet	花束。ブーケ。香り。芳香。
boutique	ブティック。婦人服や装身具などを扱う店。
bow	おじぎ。会釈。へさき。弓。
bowel	腸。内臓。
bowl	鉢。おわん。どんぶり。ボール。
bowling	ボウリング。
box	箱。ボックス。特別席。打者席。詰め所。こぶしで殴ること。
boxing	ボクシング。
boy	少年。男の子。ボーイ。
boycott	ボイコット。
boyfriend	男友達。ボーイフレンド。
boyhood	少年時代。少年期。
Br	臭素の元素記号。
bra	ブラジャー。
brace	留め金。補強材。中カッコ。
bracelet	腕輪。ブレスレット。
bracket	角カッコ。カッコ。ブラケット。
brag	自慢。ほら吹き。
braid	編み髪。おさげ。組みひも。
brain	脳。頭脳。
brake	ブレーキ。歯止め。
branch	枝。支流。支部。支店。分科。
brand	銘柄。商標。ブランド。
brandy	ブランデー。
brass	銅と亜鉛の合金、しんちゅう。金管楽器。
brassiere	ブラジャー。
brave	勇士。戦士。
bravery	勇気。大胆さ。勇敢な行動。
bravo	ブラボーという叫び声。喝采の叫び。
Brazil	ブラジル。
Brazilian	ブラジル人。
breach	破ること。違反。絶交。裂け目。
bread	パン。食べ物。生計。
breading	繁殖。飼育。育ち。教育。
breadth	幅。広がり。広さ。
break	割れ目。ひび。とぎれ。休憩。休み時間。
breakdown	故障。破損。病気で倒れること。中断。
breaker	壊すもの。壊す人。電気の遮断器。
breakfast	朝食。朝飯。
breakthrough	突破。難関突破。躍進。ブレイクスルー。
breast	胸部。乳房。
breastbone	胸骨。
breath	息。呼吸。そよ風。ほのかな香り。ささやき。
breathing	呼吸。
breed	品種。種類。
breeder	家畜・植物を繁殖させる人。
breeze	微風。そよ風。
brew	醸造高。地ビール。熱い飲み物。混合。
bribe	わいろ。人の買収。
bribery	贈賄（ぞうわい）。汚職。
brick	レンガ。
bridal	結婚式。
bride	花嫁。新婦。
bridge	橋。ブリッジ。
brief	概要。要旨。下着のブリーフ。
briefcase	書類かばん。ブリーフケース。
brigade	旅団。団体。隊。団。
brightness	明るさ。輝き。輝度。
brim	皿・コップなど、くぼみのあるものの縁。へり。帽子のつば。
Britain	``Great ～''の略称。大ブリテン島。
British	英国人。イギリス人。
broadcast	放送。放送番組。
broadcasting	放送。
Broadway	ニューヨーク市の主要な街路、ブロードウェイ。
broccoli	ブロッコリー。
broker	仲介業者。ブローカー。
bromine	臭素。
bronze	青銅。ブロンズ。青銅製品。青銅色。
brooch	飾り留めピン。ブローチ。
brook	小川。
